Verband,Name,Region,Plz,Adresse,Telefon,Fax,Web,E-Mail,Angebotsart,Sprache,Leistungskategorie,Google Maps URL,latitude,longitude
AWO Kreisverband Mitte e.V.,„Second Hemd“ I,Mitte,13357,Prinzenallee 74,030 49 910 547,,https://awo-mitte.de/frauen/#secondhemd,secondhemd@awo-mitte.de,Kleiderkammer für Kinder und Jugendliche und Erwachsene,Deutsch,finanzielle Schwierigkeiten,,52.555231,13.38347
AWO Kreisverband Mitte e.V.,„Second Hemd“ II,Mitte,13347,Plantagenstraße 43,030 49 910 547,,https://awo-mitte.de/frauen/#secondhemd,secondhemd@awo-mitte.de,Kleiderkammer für Kinder und Jugendliche und Erwachsene,Deutsch,finanzielle Schwierigkeiten,,52.149808,14.618288
AWO Kreisverband Südwest e.V.,"Bücherbasar, Trödel und AWO-Modeboutique",Steglitz-Zehlendorf,12207,Osdorfer Straße 121,030 713 870 90,,https://www.awo-suedwest.de/buecherbasar.html,,Kleiderkammer für Menschen mit sozialen Schwierigkeiten und Erwachsene,Deutsch,finanzielle Schwierigkeiten,,52.417791,13.314735
AWO Kreisverband Südwest e.V.,Kleiderkammer,Steglitz-Zehlendorf,12207,Osdorfer Straße 121,030 713 870 90,,https://www.awo-suedwest.de/kleiderkammer.html,,Kleiderkammer für Menschen mit sozialen Schwierigkeiten und Erwachsene,Deutsch,finanzielle Schwierigkeiten,,52.417791,13.314735
AWO Kreisverband Treptow-Köpenick e.V.,Soziale Kleiderkammer Treptow-Köpenick,Treptow-Köpenick,12587,Müggelseedamm 244,030 645 19 45,030 640 946 30,www.awo-treptow-koepenick.de,info@awo-tk.de,Kleiderkammer,Deutsch,finanzielle Schwierigkeiten,,52.447345,13.6344
AWO Kreisverband Spandau e.V.,AWO Schuldner- und Insolvenzberatung Spandau,Spandau,13595,Betckestraße 7,030 36 28 38 66,030 36 28 38 68,https://www.awo-spandau.de/beratung.html,verwaltung@awo-spandau-sib.de,Schuldner- und Insolvenzberatung für Menschen mit sozialen Schwierigkeiten und Erwachsene,Deutsch,"finanzielle Schwierigkeiten,Beratung",,52.520927,13.201329
AWO Kreisverband Spree-Wuhle e.V.,Kiez-Café,Friedrichshain-Kreuzberg,10247,Petersburger Straße 92,030 29 35 05 56,030 29 35 05 58,https://www.awo-spree-wuhle.de/kiez-cafe/,kiez-cafe@awo-spree-wuhle.de,"Das Kiez-Café ist ein Projekt für Wohnungslose und einkommensschwache Menschen. Es ist ein erster Anlaufpunkt im Krisenfall, aber auch ein Ort der Kommunikation und ein kiezverbundener Treffpunkt. Die Sozialberatung bietet Ihnen Unterstützung im Umgang mit Behörden, Beratung, Vermittlung sowie Hilfe bei drohender Wohnungslosigkeit.",Deutsch,"finanzielle Schwierigkeiten,Beratung,Wohnungsnotfallhilfe",,52.517297,13.452974
AWO Kreisverband Mitte e.V.,AWO Refugium Lichtenberg,Lichtenberg,,,030 680 79 02 70,,https://awo-mitte.de/gefluechtet-asyl/,awo-refugium-lichtenberg@awo-mitte.de,Unterkunft für Geflüchtete,Deutsch,Flucht/Asyl,,,
AWO Kreisverband Mitte e.V.,AWO Refugium Birkenhof,Spandau,,,030 37 58 539 0,,https://awo-mitte.de/gefluechtet-asyl/,awo-refugium-birkenhof@awo-mitte.de,Unterkunft für Geflüchtete,Deutsch,Flucht/Asyl,,,
AWO Kreisverband Mitte e.V.,AWO Refugium Ostpreußendamm,Steglitz-Zehlendorf,,,030 75 68 769 11,,https://awo-mitte.de/gefluechtet-asyl/,awo-refugium-ostpreussendamm@awo-mitte.de,Unterkunft für Geflüchtete,Deutsch,Flucht/Asyl,,,
AWO Kreisverband Mitte e.V.,AWO Wohnheim Treptow,Treptow-Köpenick,,,030 221 99 41 12,,https://awo-mitte.de/gefluechtet-asyl/,wh-treptow@awo-mitte.de,Unterkunft für Geflüchtete,Deutsch,Flucht/Asyl,,,
AWO Kreisverband Mitte e.V.,AWO Refugium für besonders schutzbedürftige Flüchtlinge Marie-Schlei-Haus,Reinickendorf,,,030 33 02 21 81 00,,https://awo-mitte.de/gefluechtet-asyl/,marie-schlei-haus@awo-mitte.de,Unterkunft für Geflüchtete,Deutsch,Flucht/Asyl,,,
AWO Kreisverband Mitte e.V.,AWO Refugium Gotenburger Straße,Mitte,,,030 221 92 21 24,,https://awo-mitte.de/gefluechtet-asyl/,awo-refugium-gotenburger@awo-mitte.de,Unterkunft für Geflüchtete,Deutsch,Flucht/Asyl,,,
AWO Kreisverband Mitte e.V.,AWO Refugium Freudstraße,Spandau,,,030 437 28 98 0,,https://awo-mitte.de/gefluechtet-asyl/,awo-refugium-freudstrasse@awo-mitte.de,Unterkunft für Geflüchtete,Deutsch,Flucht/Asyl,,,
AWO Kreisverband Mitte e.V.,AWO Refugium Hohentwielsteig,Steglitz-Zehlendorf,,,030 22 05 66 52,,https://awo-mitte.de/gefluechtet-asyl/,awo-refugium-hohentwielsteig@awo-mitte.de,Unterkunft für Geflüchtete,Deutsch,Flucht/Asyl,,,
AWO Kreisverband Mitte e.V.,AWO Beratungszentrum Mitte (Asylrechtsberatung),Mitte,13357,Exerzierstraße 16,030 40 39 49 28 0,,https://awo-mitte.de/gefluechtet-asyl/,asyl@awo-mitte.de,Asylrechtsberatung,Deutsch,"Flucht/Asyl,Beratung",,52.55404,13.374449
AWO Kreisverband Mitte e.V.,BNS Fachstelle für die Ermittlung und Beratung besonders schutzbedürftiger geflüchteter Menschen,Mitte,13347,Hochstädter Straße 1,0163 93 82 954,,https://awo-mitte.de/gefluechtet-asyl/,bns@awo-mitte.de,Sozialrechtsberatung für asylsuchende Menschen,Deutsch,"Flucht/Asyl,Beratung",,52.551829,13.365339
AWO Kreisverband Mitte e.V.,Frauenladen – Treffpunkt und Beratung,Mitte,13347,Groninger Straße 28,030 45 60 64 50,,https://awo-mitte.de/frauen/,Frauenladen@awo-mitte.de,"Freizeitangebot für Frauen, Beratung für Frauen",Deutsch,"Frauen,Beratung",,52.553025,13.362066
AWO Kreisverband Mitte e.V.,IsA-K – Freie Straffälligenhilfe für Frauen,Mitte,13357,Prinzenallee 74,030 49 91 05 47,,www.isa-k.de,info@isa-k.de,Beratung für Frauen,Deutsch,"Frauen,Beratung,Straffälligkeit",,52.555231,13.38347
AWO Kreisverband Mitte e.V.,Koordinierungsstelle für Alleinerziehende im Bezirk Mitte,Mitte,13347,Hochstädter Straße 1,030 49 30 14 28,,https://awo-mitte.de/alleinerziehende/,alleinerziehend@awo-mitte.de,Koordinierungsstelle für Alleinerziehende im Bezirk Mitte,Deutsch,"Frauen,Familie,Beratung",,52.551829,13.365339
AWO Kreisverband Mitte e.V.,Empowerment für geflüchtete Frauen,Mitte,13357,Prinzenallee 74,0151 238 87 733,,https://awo-mitte.de/,empowerment@awo-mitte.de,Angebot an Frauen mit Fluchtbiographie,Deutsch,"Frauen,Migration,Beratung",,52.555231,13.38347
AWO Kreisverband Spree-Wuhle e.V.,"Notübernachtung für Frauen ""Mitten im Kiez""",Friedrichshain-Kreuzberg,10247,Petersburger Straße 92,030 293 505 57,,https://www.awo-spree-wuhle.de/notuebernachtung/,notuebernachtung@awo-spree-wuhle.de,"niedrigschwellig Schlafplätze für Frauen*, die von Wohnungs- und Obdachlosigkeit betroffenen sind",Deutsch,"Frauen,Wohnungsnotfallhilfe",,52.517297,13.452974
AWO Kreisverband Mitte e.V.,AWO Kreisverband Berlin-Mitte e.V.,Mitte,13347,Hochstädter Str. 1,030 455 087 0,,www.awo-mitte.de,info@awo-mitte.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.551829,13.365339
AWO Kreisverband Spandau e.V.,AWO Kreisverband Spandau e.V.,Spandau,13593,Rodensteinstraße 11,030 565 99 00 0,030 565 99 00-20,www.awo-spandau.de,info@awo-spandau.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.511933,13.180017
AWO Kreisverband Spree-Wuhle e.V.,AWO City gGmbH,Friedrichshain-Kreuzberg,10249,Platz der Vereinten Nationen 1,030 200 53 428,030 200 53 868,www.awo-city.de,info@awo-city.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,48.2323362,16.4152338
AWO Kreisverband Spree-Wuhle e.V.,Geschäftsstelle,Friedrichshain-Kreuzberg,10247,Rigaer Straße 55b,030 420 890 34,030 420 892 99,https://www.awo-spree-wuhle.de/ueber-uns/,buero@awo-spree-wuhle.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.515222,13.474104
AWO Kreisverband Südost e.V.,AWO Kreisverband Südost e.V.,Neukölln,12043,Erkstr. 1,030 613 963 0,030 613 963 59,https://www.awo-suedost.de,info@awo-suedost.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.480862,13.436075
AWO Kreisverband Südwest e.V.,AWO Kreisverband Südwest e.V.,Steglitz-Zehlendorf,14169,Mörchinger Str. 116,030 845 921 14,030 845 921 15,www.awo-suedwest.de,zehlendorf@awo-suedwest.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.437197,13.271952
AWO Kreisverband Südwest e.V.,"AWO Kreisverband Südwest e.V., Regionalbüro Schöneberg",Tempelhof-Schöneberg,10781,Goltzstr. 19,030 200 517 65,030 200 517 73,www.awo-suedwest.de,schoeneberg@awo-suedwest.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.383132,13.400111
AWO Kreisverband Südwest e.V.,"AWO Kreisverband Südwest e.V., Regionalbüro Steglitz",Steglitz-Zehlendorf,12207,Osdorfer Str. 121,030 713 870 90,030 713 917 51,www.awo-suedwest.de,steglitz@awo-suedwest.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.417791,13.314735
AWO Kreisverband Südwest e.V.,"AWO Kreisverband Südwest e.V., Regionalbüro Tempelhof ""Spukvilla""",Tempelhof-Schöneberg,12103,Albrechtstr. 110,030 751 508 9,030 752 871 8,www.awo-suedwest.de,schoeneberg@awo-suedwest.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,48.315588,16.314852
AWO Kreisverband Treptow-Köpenick e.V.,AWO Kreisverband Treptow-Köpenick e.V.,Treptow-Köpenick,12587,Müggelseedamm 244,030 645 19 45,030 640 946 30,www.awo-treptow-koepenick.de,buero@awo-tk.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.447345,13.6344
AWO Landesverband Berlin e.V.,AWO Landesverband Berlin e.V.,Friedrichshain-Kreuzberg,10961,Blücherstraße 62,030 253 890,,www.awoberlin.de,info@awoberlin.de,Geschäftsstelle,Deutsch,Geschäftsstelle,,52.495174,13.398255
AWO pro:mensch gGmbH,AWO pro:mensch gGmbH,Tempelhof-Schöneberg,12277,Wilhelm-von-Siemens-Straße 23 (Aufgang E),030 233 27 59 0,030 233 27 59 99,www.awo-promensch.de,info@awo-promensch.de,Geschäftsstelle,Deutsch,"Geschäftsstelle,Mitgliedsorganisation",,52.429568,13.381516
AWO Kreisverband Berlin-Nordwest e.V.,Rolli-Treff,Pankow,13127,Arnouxstraße 10,030 47 55 91 68,,https://www.awo-nordwest.de/rolli-treff/,awo-nordwest-arnouxstr@tonline.De,Freizeitangebot für Menschen mit Behinderung,Deutsch,Inklusion,,52.607057,13.425731
AWO Kreisverband Mitte e.V.,AWO Wohngemeinschaft Hochstädter Straße,Mitte,13347,Hochstädter Straße 1,030 84 85 52 66,,https://awo-mitte.de/behindertenhilfe/,wgh@awo-mitte.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,52.551829,13.365339
AWO Kreisverband Mitte e.V.,Betreutes Einzelwohnen,Mitte,10551,Turmstraße 71,030 39 88 60 27,,https://awo-mitte.de/behindertenhilfe/,bew@awo-mitte.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,48.274811,14.317008
AWO Kreisverband Spree-Wuhle e.V.,Betreutes Paar- und Einzelwohnen Friedrichshain-Kreuzberg und Marzahn-Hellersdorf,Friedrichshain-Kreuzberg,10249,Platz der Vereinten Nationen 1,030 200 53 428,030 200 53-868,www.awo-city.de,bew@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,48.2323362,16.4152338
AWO Kreisverband Spree-Wuhle e.V.,Betreutes Paar- und Einzelwohnen Spandau,Spandau,13583,Seegefelder Straße 90,030 3229 3348,030 200 53-868,www.awo-city.de,bew-spandau@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,52.538323,13.184365
AWO Kreisverband Spree-Wuhle e.V.,Wohngemeinschaft Friedenstraße,Friedrichshain-Kreuzberg,10249,Friedenstraße,030 200 53 428,030 200 53-869,www.awo-city.de,info@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,46.9907445,16.2607645
AWO Kreisverband Spree-Wuhle e.V.,Wohngemeinschaft Gitschiner Straße,Friedrichshain-Kreuzberg,10969,Gitschiner Straße,030 200 53 428,030 200 53-870,www.awo-city.de,info@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,52.4985147,13.4024847
AWO Kreisverband Spree-Wuhle e.V.,Wohngemeinschaft Nauener Straße,Spandau,13583,Nauener Straße,030 200 53 428,030 200 53-871,www.awo-city.de,info@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,52.8302494,13.7552327
AWO Kreisverband Spree-Wuhle e.V.,Wohngemeinschaft Ritterstraße,Friedrichshain-Kreuzberg,10969,Ritterstraße,030 200 53 428,030 200 53-872,www.awo-city.de,info@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,47.9741553,14.4217732
AWO Kreisverband Spree-Wuhle e.V.,Wohngemeinschaft Stralauer Allee,Friedrichshain-Kreuzberg,10245,Stralauer Allee,030 200 53 428,030 200 53-873,www.awo-city.de,info@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,52.4999689,13.4550065
AWO Kreisverband Spree-Wuhle e.V.,Wohngemeinschaft Wilhelmstraße,Friedrichshain-Kreuzberg,10963,Wilhelmstr. Nähe Stresemannstr.,030 200 53 428,030 200 53-873,www.awo-city.de,info@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,48.1767681,16.3342672
AWO Kreisverband Spree-Wuhle e.V.,Wohngemeinschaft Anhalter Bahnhof,Friedrichshain-Kreuzberg,10963,Wilhelmstr. Nähe Anhalter Bf.,030 200 53 428,030 200 53-874,www.awo-city.de,info@awo-city.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,51.8027191,7.0456079
